"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11274","Login with standard_user","UC-1 Sorting Validation","2026-03-26","broken","2026-03-26","","","",""
"","10868","Login with standard_user","UC-1 Sorting Validation","2026-03-26","broken","2026-03-26","","","",""
"","12779","add item: add-to-cart-sauce-labs-backpack","UC-2 Cart State Logic","2026-03-26","broken","2026-03-26","","","",""
"","10835","remove item: remove-sauce-labs-bolt-t-shirt","UC-2 Cart State Logic","2026-03-26","broken","2026-03-26","","","",""
"","3277","Change cart badge number","UC-2 Cart State Logic","2026-03-27","passed","2026-03-27","","","",""
"","13538","add item: add-to-cart-sauce-labs-backpack","UC-2 Cart State Logic","2026-03-26","broken","2026-03-26","","","",""
"","2987","Sort items by low to high price","UC-1 Sorting Validation","2026-03-27","passed","2026-03-27","","","",""
"","2003","Change cart badge number","UC-2 Cart State Logic","2026-03-26","passed","2026-03-26","","","",""
"","3022","Sort items by low to high price","UC-1 Sorting Validation","2026-03-27","passed","2026-03-27","","","",""
"","10696","add item: add-to-cart-sauce-labs-bolt-t-shirt","UC-2 Cart State Logic","2026-03-26","broken","2026-03-26","","","",""
"","10298","add item: add-to-cart-sauce-labs-bolt-t-shirt","UC-2 Cart State Logic","2026-03-26","broken","2026-03-26","","","",""
"","10299","remove item: remove-sauce-labs-bolt-t-shirt","UC-2 Cart State Logic","2026-03-26","broken","2026-03-26","","","",""
"","3364","Change cart badge number","UC-2 Cart State Logic","2026-03-27","passed","2026-03-27","","","",""
"","10754","remove item: remove-sauce-labs-bolt-t-shirt","UC-2 Cart State Logic","2026-03-26","broken","2026-03-26","","","",""
"","1684","Sort items by low to high price","UC-1 Sorting Validation","2026-03-27","passed","2026-03-27","","","",""
"","10846","add item: add-to-cart-sauce-labs-bolt-t-shirt","UC-2 Cart State Logic","2026-03-26","broken","2026-03-26","","","",""
"","11165","Login with standard_user","UC-1 Sorting Validation","2026-03-26","broken","2026-03-26","","","",""
"","1466","Change cart badge number","UC-2 Cart State Logic","2026-03-27","passed","2026-03-27","","","",""
"","1840","Sort items by low to high price","UC-1 Sorting Validation","2026-03-26","passed","2026-03-26","","","",""
"","10984","Login with standard_user","UC-1 Sorting Validation","2026-03-26","broken","2026-03-26","","","",""
"","13254","add item: add-to-cart-sauce-labs-backpack","UC-2 Cart State Logic","2026-03-26","broken","2026-03-26","","","",""
